female,67,sixties,massager,massage_parlor,billiards,pub,low
female,35,thirties,esthetician,beauty_salon,volleyball,volleyball_court,low
female,26,twenties,pediatrician,hospital,rock_climbing,wall_rock,low
female,25,twenties,school_principal,school,table_tennis,park,low
female,73,seventies,choreographer,theatre,judo,gym,low
male,33,thirties,miner,mine,wrestling,wrestling_ring,high
male,48,forties,magician,theatre,chess,cafeteria,low
male,60,sixties,chiropractor,surgery,scuba_diving,sea,low
male,28,twenties,pediatrician,surgery,golf,golf_course,low
male,26,twenties,physicist,science_lab,darts,pub,low
female,65,sixties,clinical_psychologist,surgery,gymnastics,gym,medium
male,33,thirties,electrician,office,horse_racing,hippodrome,medium
female,62,sixties,associate_professor,university,gymnastics,gym,medium
female,74,seventies,chiropractor,surgery,basketball,basketball_court,low
female,40,forties,associate_professor,university,ice_hockey,skating_rink,low
female,29,twenties,demonstrator,university,boxing,boxing_ring,low
male,28,twenties,sculptor,studio,water-skiing,sea,low
female,61,sixties,lecturer,university,dancing,ballroom,low
female,38,thirties,divorce_lawyer,office,boxing,boxing_ring,low
female,24,twenties,miner,mine,rugby,ballpark,high
male,50,fifties,basketball_coach,court,dancing,ballroom,low
male,37,thirties,opera_star,concert_hall,billiards,pub,low
female,70,seventies,chemist,school,judo,gym,low
male,61,sixties,math_teacher,school,tennis,tennis_court,low
female,41,forties,movie_actor,location,boxing,boxing_ring,high
male,61,sixties,physicist,science_lab,tennis,tennis_court,low
female,30,thirties,nurse,surgery,hunting,forest,low
female,49,forties,decorator,office,american_football,ballpark,low
male,55,fifties,public_defender,office,scuba_diving,sea,low
male,25,twenties,tamer,circus,ice_skating,skating_rink,high
male,44,forties,opera_star,theatre,fishing,lake,low
female,42,forties,magician,theatre,hunting,forest,low
female,73,seventies,massager,massage_parlor,chess,cafeteria,low
female,62,sixties,veterinarian,farm,surfing,sea,high
male,71,seventies,school_principal,school,dancing,ballroom,low
male,21,twenties,copilot,airport,bingo,casino,medium
female,28,twenties,journalist,office,bowling,amusement_park,low
female,47,forties,massager,massage_parlor,marbles,park,low
male,63,sixties,dentist,surgery,judo,gym,low
male,72,seventies,tamer,circus,gymnastics,gym,high
female,70,seventies,post_doc,university,water-skiing,lake,low
female,73,seventies,massager,massage_parlor,boat_racing,sea,medium
